timeStamp	04-07-16_13-58-03
totalHeight	0.800000
totalMass	1.700000
footHeight	0.031200
shankLength	0.196800
thighLength	0.196000
trunkLength	0.230400
headNeckLength	0.145600
centMass_1	0.394000
centMass_2	0.567000
centMass_3	0.626000
radGyr_1	0.572000
radGyr_2	0.653000
radGyr_3	0.798000
footShankMass_half	0.207400
thighMass_half	0.340000
headArmsTrunkMass_half	1.152600
heel_initAngle	1.658063
knee_initAngle	0.698132
hip_initAngle	-0.698132
heel_initAngVel	0.000000
knee_initAngVel	0.000000
hip_initAngVel	0.000000
falltime	0.353553
timeStep	0.007071
