timeStamp	04-10-16_14-46-19
totalHeight	0.800000
totalMass	1.340000
footHeight	0.031200
shankLength	0.196800
thighLength	0.196000
trunkLength	0.230400
headNeckLength	0.145600
centMass_1	0.459700
centMass_2	0.397100
centMass_3	0.375500
radGyr_1	0.376600
radGyr_2	0.378100
radGyr_3	0.233800
footShankMass_half	0.225600
thighMass_half	0.562000
headArmsTrunkMass_half	0.735400
heel_initAngle	1.658063
knee_initAngle	0.698132
hip_initAngle	-0.698132
heel_initAngVel	0.000000
knee_initAngVel	0.000000
hip_initAngVel	0.000000
falltime	0.353553
timeStep	0.007071
